ratio,k_probe,Rmin,Rmax,S10,S90,dynamic_range_db,responses_full
1.0,15.0,134.00426666666667,201.2168,0.4583958044666155,1.6382441818067852,5.531380002073268,"{'stim': [np.float64(0.01), np.float64(0.05623413251903491), np.float64(0.31622776601683794), np.float64(1.7782794100389228), np.float64(10.0)], 'response': [np.float64(134.00426666666667), np.float64(134.19293333333334), np.float64(134.2464), np.float64(200.8774666666667), np.float64(201.2168)]}"
2.0,25.0,213.06319999999997,213.28346666666667,10.0,10.0,0.0,"{'stim': [np.float64(0.01), np.float64(0.05623413251903491), np.float64(0.31622776601683794), np.float64(1.7782794100389228), np.float64(10.0)], 'response': [np.float64(213.09866666666667), np.float64(213.28346666666667), np.float64(213.18133333333336), np.float64(213.13573333333338), np.float64(213.06319999999997)]}"
3.0,45.0,155.79973333333334,172.13773333333333,0.014623413251903515,10.0,28.349512468408726,"{'stim': [np.float64(0.01), np.float64(0.05623413251903491), np.float64(0.31622776601683794), np.float64(1.7782794100389228), np.float64(10.0)], 'response': [np.float64(155.79973333333334), np.float64(172.13773333333333), np.float64(161.35013333333336), np.float64(165.7032), np.float64(166.19613333333334)]}"
4.0,20.0,22.94066666666667,30.513066666666674,10.0,10.0,0.0,"{'stim': [np.float64(0.01), np.float64(0.05623413251903491), np.float64(0.31622776601683794), np.float64(1.7782794100389228), np.float64(10.0)], 'response': [np.float64(23.627866666666666), np.float64(24.1652), np.float64(22.94333333333333), np.float64(30.513066666666674), np.float64(22.94066666666667)]}"
5.0,20.0,31.24,31.733999999999998,0.01,10.0,30.0,"{'stim': [np.float64(0.01), np.float64(0.05623413251903491), np.float64(0.31622776601683794), np.float64(1.7782794100389228), np.float64(10.0)], 'response': [np.float64(31.312666666666672), np.float64(31.24), np.float64(31.298399999999997), np.float64(31.733999999999998), np.float64(31.413333333333338)]}"
